GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
1580000US5370000053060200,5370000053060200,"Census Tract 602 (part), Pierce County (part), Tacoma city, Washington",1793,1476,5,5,2,0,58,51,47,189,337,219,175,106,94,65,55,16,18,16,7,6,1,2,2,317,1,4,0,2,7,7,5,30,56,44,26,17,24,26,28,10,7,7,6,3,2,3,2
1580000US5370000053060300,5370000053060300,"Census Tract 603 (part), Pierce County (part), Tacoma city, Washington",3357,1595,78,70,71,46,41,11,15,44,110,114,103,108,119,112,142,47,66,29,42,46,45,34,102,1762,70,72,70,45,32,15,12,30,109,109,76,109,96,119,115,47,73,40,43,56,55,120,249
1580000US5370000053060400,5370000053060400,"Census Tract 604, Pierce County (part), Tacoma city, Washington",3896,1931,152,122,108,66,35,18,14,43,103,146,136,161,133,168,165,62,86,40,46,47,45,15,20,1965,105,109,107,72,33,17,14,41,108,153,125,183,157,182,168,55,75,46,46,60,38,32,39
1580000US5370000053060500,5370000053060500,"Census Tract 605, Pierce County (part), Tacoma city, Washington",3923,1883,123,119,112,68,34,18,35,80,72,85,102,149,157,174,169,83,95,32,50,57,32,19,18,2040,98,114,109,77,28,14,34,80,83,107,107,177,162,197,202,65,113,57,49,54,40,31,42
1580000US5370000053060600,5370000053060600,"Census Tract 606, Pierce County (part), Tacoma city, Washington",5262,2491,142,147,121,80,47,19,14,101,239,179,198,208,198,213,163,68,116,43,51,54,39,28,23,2771,153,149,128,86,50,26,25,141,276,199,189,210,216,229,206,83,93,40,63,68,46,47,48
1580000US5370000053060700,5370000053060700,"Census Tract 607, Pierce County (part), Tacoma city, Washington",6523,3073,133,126,125,63,349,235,162,254,199,203,178,201,188,167,161,77,80,40,40,37,24,17,14,3450,140,133,111,67,554,250,226,249,202,193,166,198,215,185,196,61,80,35,48,49,22,34,36
1580000US5370000053060800,5370000053060800,"Census Tract 608, Pierce County (part), Tacoma city, Washington",4940,2366,163,130,138,93,47,27,33,82,172,218,162,185,187,193,153,59,71,41,54,52,45,22,39,2574,154,131,123,70,42,22,26,95,176,212,188,196,195,214,216,60,91,42,54,71,58,54,84
1580000US5370000053060903,5370000053060903,"Census Tract 609.03, Pierce County (part), Tacoma city, Washington",3043,1401,70,69,80,62,31,13,15,42,73,70,89,94,86,109,114,43,56,35,51,74,55,43,27,1642,59,59,67,54,21,19,9,55,82,87,81,84,98,140,144,57,83,50,72,102,96,66,57
1580000US5370000053060904,5370000053060904,"Census Tract 609.04, Pierce County (part), Tacoma city, Washington",5015,2377,187,167,178,77,53,26,29,98,198,181,171,157,170,176,132,51,62,44,50,63,44,39,24,2638,190,164,128,93,43,17,24,126,234,214,167,186,182,209,178,66,84,44,57,79,57,50,46
1580000US5370000053060905,5370000053060905,"Census Tract 609.05, Pierce County (part), Tacoma city, Washington",6359,2816,163,157,152,88,71,25,31,112,168,158,129,176,197,246,205,68,120,49,80,106,97,90,128,3543,150,156,153,122,84,52,41,121,177,175,147,172,218,275,249,102,143,79,95,132,161,206,333
